name,operator,amenity,address,addr_city,addr_street,addr_housenumber,addr_postcode,lat,lon,city_name
,BMCE,atm,,,,,,31.62202,-8.010319,Marrakech
Crédit Agricole,,atm,,,,,,31.366983,-7.942188,Tahannaout
Banco Santander,,bank,,,,,,35.29332,-2.9393227,Melilla
Unicaja Banco,,bank,,,,,,35.293324,-2.9389086,Melilla
Attijariwafa bank,,bank,,,,,,31.434471,-4.2337,Arfoud
Banque Populaire,,bank,,,,,,31.434877,-4.2334733,Arfoud
Al Barid Bank,Al Barid Bank,bank,,,,,,35.168064,-5.265595,Chefchaouen
Banque Populaire,,bank,,,,,,30.92768,-6.9268355,Ouarzazate
,BCME,bank,,,,,,32.935146,-5.6677837,Khenifra
Crédit du Maroc,,bank,,,,,,33.894226,-5.5570016,Meknès
Banque Populaire,,bank,,,,,,33.758766,-5.485176,Bou Fekrane
Banque Populaire,,bank,,,,,,33.68127,-5.372741,El Hajeb
Crédit Agricole du Maroc,,bank,,,,,,33.439545,-5.224408,Azrou
Credit du Maroc,,bank,,,,,,33.44012,-5.2247744,Azrou
Banque Populaire,,bank,,,,,,33.44451,-5.228852,Azrou
Banque Populaire,,bank,,,,,,31.920618,-4.4383245,Errachidia
Crédit Agricole,,bank,,,,,,31.932938,-4.423153,Errachidia
Bank of Africa,,bank,,,,,,31.43699,-4.2325068,Arfoud
Crédit agricole du Maroc,,bank,,,,,,31.437458,-4.232233,Arfoud
Crédit du Maroc,,bank,,,,,,31.435526,-4.2331915,Arfoud
Banque Populaire,,bank,,,,,,31.510092,-5.0304255,Tinejdad
attijri wafa bank,,bank,,,,,,31.238089,-6.1277976,Kalaat M'Gouna
Crédit Agricole du Maroc,,bank,,,,,,31.238123,-6.127735,Kalaat M'Gouna
Banque Populaire,,bank,,,,,,31.238232,-6.128073,Kalaat M'Gouna
Attijariwafa Bank,التجاري وفا بنك,bank,,,,,,30.920616,-6.913998,Ouarzazate
Attijariwafa Bank,التجاري وفا بنك,bank,,,,,,30.920427,-6.9167633,Ouarzazate
Crédit agricole du Maroc,,bank,,,,,,30.92785,-6.926489,Ouarzazate
Crédit agricole du Maroc,,bank,,,,,,30.92042,-6.9170012,Ouarzazate
Bank of Africa,,bank,,,,,,30.920597,-6.9143877,Ouarzazate
Banque Populaire,,bank,,,,,,30.920763,-6.9130583,Ouarzazate
Banque de Hotelier,,atm,,,,,,31.511139,-9.769308,Essaouira
,BMCI,atm,,,,,,31.515451,-9.759146,Essaouira
Banque Populaire,,bank,,,,,,31.64559,-7.978439,Marrakech
Crédit agricole du Maroc,Credit Agricole,bank,,,,,,31.645554,-7.978751,Marrakech
Bank of Africa,,bank,,,,,,31.645512,-7.978999,Marrakech
Société Générale,سوسيتيه جنرال,bank,,,,,,33.96058,-6.8680773,Rabat
,الشركة العامة,bank,,,,,,33.959976,-6.8741465,Rabat
Banque Populaire,,bank,,,,,,34.877636,-6.2874494,Moulay Bousselham
Crédit Agricole du Maroc,,bank,,,,,,34.87779,-6.286605,Moulay Bousselham
ATM,,bank,,,,,,31.636328,-8.000567,Marrakech
,Al Barid bank,atm,,,,,,34.05298,-4.9933286,Méchouar Fès Jdid
Banque populaire,banque populaire,atm,,,,,,32.68503,-4.743233,Midelt
Crédit Agricole du Maroc,,bank,,,,,,34.068222,-6.7926116,Salé
Bank of Africa,,bank,,,,,,33.962185,-6.864071,Rabat
BMCI,البنك المغربي للتجارة والصناعة,bank,,,,,,33.959503,-6.867783,Rabat
Crédit agricole du Maroc,,bank,,,,,,33.96258,-6.864331,Rabat
Crédit du Maroc,,bank,,,,,,33.59402,-7.596075,Casablanca
Société Générale,سوسيتيه جنرال,bank,,,,,,33.590427,-7.602881,Casablanca
Attijariwafa,,bank,,,,,,33.59057,-7.603387,Casablanca
Société Générale,سوسيتيه جنرال,bank,,,,,,33.594162,-7.5958176,Casablanca
Attijariwafa,,bank,,,,,,33.594307,-7.5955925,Casablanca
Société Générale,سوسيتيه جنرال,bank,,,,,,33.591286,-7.5908504,Casablanca
Société générale Maroc,سوسيتيه جنرال,bank,,,,,,33.59684,-7.6699147,Casablanca
Attijariwafa,,bank,,,,,,30.42166,-9.593499,Agadir
Atijariwafa Bank,,bank,,,,,,35.24303,-3.929739,Al Hoceïma
Banque Populaire,,bank,,,,,,35.007683,-3.543332,Tafersit
Attijariwafa Bank,,bank,,,,,,35.006413,-3.5396547,Tafersit
BMCI,البنك المغربي للتجارة والصناعة,bank,,,,,,33.9889,-6.7347617,Salé
Bank of Africa,,bank,,,,,,33.994633,-6.7408233,Salé
Banque Populaire,,bank,,,,,,33.996048,-6.741641,Salé
,Alwajarawa Bank,atm,,,,,,29.578907,-10.035199,Mirleft
,Societe Generale,atm,,,,,,34.06172,-4.984146,Fès
Attijariwafa Bank,التجاري وفا بنك,bank,,,,,,34.22478,-4.008424,Taza
,Banque populaire,atm,,,,,,34.22071,-4.0073423,Taza
,BMCE,bank,,,,,,34.22301,-4.008094,Taza
Société générale Maroc,سوسيتيه جنرال,bank,,,,,,33.59511,-7.62744,Casablanca
BMCI,البنك المغربي للتجارة والصناعة,atm,,,,,,33.595024,-7.627633,Casablanca
Attijariwafa Bank,التجاري وفا بنك,bank,,,,,,34.67255,-4.626612,Abdelghaya Souahel
Banque Chaabi,,bank,,,,,,34.538425,-4.637323,Taounate
AttijariWafa Bank,,bank,,,,,,34.536602,-4.6384645,Taounate
BMCI,البنك المغربي للتجارة والصناعة,bank,,,,,,33.577477,-7.6470695,Casablanca
Banque Populaire,,bank,,,,,,33.577282,-7.6473403,Casablanca
Banque Populaire,,bank,,,,,,29.378859,-10.173779,Sidi Ifni
Banque Populaire,,bank,,,,,,33.99361,-6.743784,Salé
Chaabi,,bank,,,,,,33.989456,-6.734111,Salé
Attijariwafa Bank,التجاري وفا بنك,bank,,,,,,33.587135,-7.639214,Casablanca
Mikkes,,atm,,,,,,34.133904,-5.33189,Charqaoua
Attijariwafa Bank,التجاري وفا بنك,bank,,,,,,29.379744,-10.173299,Sidi Ifni
Bank of Africa,,bank,,,,,,31.518963,-5.5349236,Tinghir
Western Union,,bank,,,,,,31.518774,-5.5350885,Tinghir
Attijariwafa Bank,التجاري وفا بنك,bank,,,,,,30.576036,-7.2056036,Taznakht
Banque Popularie,,bank,,,,,,30.57548,-7.206059,Taznakht
,BMCI,atm,,,,,,33.594357,-7.633797,Casablanca
BMCI Ziraoui,,bank,,,,,,33.59437,-7.633722,Casablanca
Poste Maroc,Poste Maroc,atm,,,,,,27.149548,-13.1993475,Laâyoune
Société Générale,سوسيتيه جنرال,bank,,,,,,35.569633,-5.385417,Tétouan
Crédit Agricole,,bank,,,,,,35.56976,-5.3852725,Tétouan
