commune_norm;commune_x;taux_jeunesse;taux_vieillesse;INIV;nb_atm;IEDU;Indice_accessibilite_x;Indice_transport;indice_densite_routiere;Indice_POI;densite_norm;Indice_POI_norm;indice_densite_routiere_norm;indice_transport_norm_x;indice_transport_norm_y;commune_key;commune_y;latitude;longitude;densite
ainchock;Aïn-Chock;21.2;16.4;0.991;3.0;0.8267;42.9;54.09;48.06;13.22;0.6602457549888686;0.983957219251337;0.97927807486631;0.9953208556149732;0.9913101604278076;ain-chock;ain-chock;33.5370603;-7.5981542;
aarabsebbahgheris;Aarab Sebbah Gheris;33.2;11.8;0.7498;;0.6692;2.62;0.0;5.19;0.11;0.008363989543691;0.4699197860962567;0.5752005347593583;0.3699866310160428;0.5531417112299465;aarab sebbah gheris;aarab sebbah gheris;31.4168898;-4.326069;4758.0
aarabsebbahziz;Aarab Sebbah Ziz;32.2;10.7;0.855;2.0;0.7026;3.0;0.0;5.68;0.81;0.0361793225256604;0.8362299465240641;0.608957219251337;0.3699866310160428;0.5992647058823529;aarab sebbah ziz;aarab sebbah ziz;31.4637845;-4.2169132;20538.0
abadou;Abadou;27.4;14.2;0.8121;;0.5806;5.16;0.0;10.31;0.0;0.0184536578573027;0.0875668449197861;0.8114973262032086;0.3699866310160428;0.7830882352941176;abadou;abadou;31.5801468;-7.3129705;10482.0
abaynou;Abaynou;30.1;14.1;0.9354;;0.6207;4.24;0.0;8.39;0.22;0.0051453077930525;0.63201871657754;0.7540106951871658;0.3699866310160428;0.7286096256684492;abaynou;abaynou;29.0948412;-10.0192091;2932.0
abboulakhal;Abbou Lakhal;39.6;7.4;0.1093;;0.1846;;;;;0.0031305469820011;0.0;0.0;0.0;0.0;abbou lakhal;abbou lakhal;32.1569307;-1.5133879;1789.0
abdelghayasouahel;Abdelghaya Souahel;28.9;10.3;0.6066;;0.4368;0.73;0.0;1.41;0.11;0.0430485463932608;0.4699197860962567;0.0955882352941176;0.3699866310160428;0.0865641711229946;abdelghaya souahel;abdelghaya souahel;34.785784;-4.6335496;24435.0
abteh;Abteh;24.6;10.0;0.7656;;0.5905;0.34;0.0;0.63;0.15;0.0011175488663224;0.5387700534759359;0.025735294117647;0.3699866310160428;0.0217245989304812;abteh;abteh;27.9403934;-11.4317635;647.0
adaghas;Adaghas;27.1;22.6;0.2768;;0.438;1.18;0.0;2.37;0.0;0.0028961084974255;0.0875668449197861;0.2182486631016043;0.3699866310160428;0.1935160427807486;adaghas;adaghas;30.8854046;-9.2973309;1656.0
adar;Adar;20.0;30.2;0.6461;;0.3781;2.96;0.0;5.88;0.11;0.0053321535025638;0.4699197860962567;0.6233288770053476;0.3699866310160428;0.5939171122994652;adar;adar;30.1221559;-8.3820408;3038.0
