osmid,osm_type,name,transport_mode,lat,lon,operator,network,ref,public_transport,railway,highway,amenity,tram,bus,route,source
455947905,node,Guardia Civil De Haría,bus,29.1447006,-13.4884343,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,86,platform,,bus_stop,,,yes,,
595776472,node,,taxi,29.7208033,-8.9734718,,,,,,,taxi,,,,
595776473,node,,bus,29.7215208,-8.9742228,,,,platform,,bus_stop,,,yes,,
599316558,node,,taxi,30.3308101,-9.4098447,,,,,,,taxi,,,,
605048160,node,,taxi,28.9968622,-13.491996,,,,,,,taxi,,,,
1182616058,node,,taxi,31.5107293,-9.7694129,,,,,,,taxi,,,,
1185669883,node,,taxi,31.5799432,-9.5398984,,,,,,,taxi,,,,
1245964366,node,Marrakech مراكش,train,31.6305935,-8.0171313,ONCF,,,station,station,,,,,,
1245964442,node,,taxi,31.6294716,-8.0188389,,,,,,,taxi,,,,
1245964468,node,,taxi,31.6310831,-8.0173216,,,,,,,taxi,,,,
1419624333,node,,taxi,28.4349888,-11.1039779,,,,,,,taxi,,,,
1611656347,node,Arrieta,bus,29.1319275,-13.46234,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,237,platform,,bus_stop,,,yes,,
1611656349,node,Bar Palenque (Punta Mujeres),bus,29.1463313,-13.4486875,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,230,platform,,bus_stop,,,yes,,
1612929780,node,Plaza de Guatiza,bus,29.0744333,-13.4804664,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,221,platform,,bus_stop,,,yes,,
1635110408,node,Grand Taxis,taxi,29.5794288,-10.0351292,,,,,,,taxi,,,,
1660843258,node,grand taxi,taxi,30.6792951,-9.4829918,,,,,,,taxi,,,,
1974305991,node,,bus,30.4720909,-8.8746023,,,,platform,,bus_stop,,,yes,,
2020436714,node,Taghazout Village,bus,30.5444153,-9.7078093,,,,platform,,bus_stop,,,,,
2031101305,node,,taxi,31.5104688,-9.7712389,,,,,,,taxi,,,,
2079969515,node,Pueblo Marinero,bus,28.9976837,-13.4915127,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,12,platform,,bus_stop,,,yes,,
2131227018,node,35,bus,30.358986,-9.5285361,ALSA,,,platform,,bus_stop,,,yes,,http://www.alsa.ma/fr/agadir
2131227019,node,36,bus,30.3589914,-9.5288095,ALSA,,,platform,,bus_stop,,,yes,,http://www.alsa.ma/fr/agadir
2131227023,node,42,bus,30.3589611,-9.5288715,ALSA,,,platform,,bus_stop,,,yes,,http://www.alsa.ma/fr/agadir
2131251718,node,41,bus,30.3589293,-9.5289564,ALSA,,,platform,,bus_stop,,,yes,,http://www.alsa.ma/fr/agadir
2131251719,node,40,bus,30.3588882,-9.5290367,ALSA,,,platform,,bus_stop,,,yes,,http://www.alsa.ma/fr/agadir
2148175588,node,,taxi,29.694527,-9.7335877,,,,,,,taxi,,,,
2211366184,node,,taxi,30.9938175,-8.1823143,,,,,,,taxi,,,,
2574703985,node,Centro Salud de Mala,bus,29.0933127,-13.4706519,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,274,platform,,bus_stop,,,yes,,
2574703987,node,Mala Correos,bus,29.0977225,-13.4696658,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,224,platform,,bus_stop,,,yes,,
2574703990,node,Mala de Abajo,bus,29.1017312,-13.4695615,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,225,platform,,bus_stop,,,yes,,
2677765478,node,Hotel Salinas,bus,29.0015447,-13.4860294,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,14,platform,,bus_stop,,,yes,,
3004032974,node,,taxi,31.6416232,-8.0023221,,,,,,,taxi,,,,
3018228175,node,Laaouina Source,bus,30.2941389,-9.4578773,,,,platform,,bus_stop,,,yes,,
3018228176,node,Ait Ouagmer,bus,30.2957976,-9.4594189,,,,platform,,bus_stop,,,yes,,
3164344949,node,Station de Taxi,taxi,30.6409139,-8.4752503,,,,,,,taxi,,,,
3166312668,node,,taxi,29.3797034,-10.1709009,,,,,,,taxi,,,,
3168392862,node,La Molina de Máguez,bus,29.1580965,-13.4941204,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,327,platform,,bus_stop,,,yes,,
3168400005,node,Los Morros (Arrieta),bus,29.1348828,-13.4570884,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,236,platform,,bus_stop,,,yes,,
3168400008,node,La Plaza (Haría),bus,29.1469312,-13.4978027,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,247,platform,,bus_stop,,,yes,,
3168406315,node,Tabayesco,bus,29.1249601,-13.4671995,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,238,platform,,bus_stop,,,yes,,
3168406316,node,Arrieta,bus,29.131111,-13.4616309,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,227,platform,,bus_stop,,,yes,,
3168497042,node,Playa Bastián,bus,28.9960216,-13.4973311,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,11,platform,,bus_stop,,,yes,,
3168709882,node,Jardín de Cactus (Guatiza),bus,29.0800843,-13.4772501,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,222,platform,,bus_stop,,,yes,,
3168709883,node,Punta Mujeres,bus,29.1428365,-13.4513783,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,229,platform,,bus_stop,,,yes,,
3168709884,node,Calle San Juan (Haría),bus,29.1457135,-13.4949702,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,246,platform,,bus_stop,,,yes,,
3168709885,node,Sociedad de Máguez,bus,29.1591658,-13.4952139,Cabildo de Lanzarote,Líneas Interurbanas de Lanzarote,249,platform,,bus_stop,,,yes,,
3276658344,node,Taxi,taxi,31.6310394,-8.0174378,,,,,,,taxi,,,,
3350132577,node,,taxi,30.3970679,-9.5963909,,,,,,,taxi,,,,
